"","basisOfRecord","scientificName","family","genus","decimalLongitude","decimalLatitude","stateProvince","year","month","country","catalogNumber","institutionCode","county","locality","lat","lon"
"1","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.093605,33.756493,"California",2021,1,"United States of America","OBS1040940996","CLO","Orange","Los Alamitos Retarding Basin",33.756493,-118.093605
"2","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.22812,32.750957,"California",2021,1,"United States of America","OBS1040956765","CLO","San Diego","Famosa Slough",32.750957,-117.22812
"3","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.045135,33.696514,"California",2021,1,"United States of America","OBS1040966653","CLO","Orange","Bolsa Chica--walkbridge/inner bay",33.696514,-118.045135
"4","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-118.050735,33.702652,"California",2021,1,"United States of America","OBS1040970715","CLO","Orange","Bolsa Chica Ecological Reserve",33.702652,-118.050735
"5","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-115.729485,33.347416,"California",2021,1,"United States of America","OBS1040991778","CLO","Imperial","Bombay Beach--Ave. E",33.347416,-115.729485
"6","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.3544,38.571285,"California",2021,1,"United States of America","OBS1041040778","CLO","Sacramento","American River Parkway--Mayhew Drain area",38.571285,-121.3544
"7","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-121.44124,38.266636,"California",2021,1,"United States of America","OBS1041042021","CLO","Sacramento","Cosumnes River Preserve, Elk Grove US-CA 38.26664, -121.44124",38.266636,-121.44124
"8","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-122.38379,37.723732,"California",2021,1,"United States of America","OBS1041069399","CLO","San Francisco","Candlestick SRA--Yosemite Slough restoration",37.723732,-122.38379
"9","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.21818,32.763557,"California",2021,1,"United States of America","OBS1041103715","CLO","San Diego","Mission Bay--South Shores Park",32.763557,-117.21818
"10","HUMAN_OBSERVATION","Anas acuta Linnaeus, 1758","Anatidae","Anas",-117.07855,33.04878,"California",2021,1,"United States of America","OBS1041106651","CLO","San Diego","Lake Hodges Walking Trails",33.04878,-117.07855
